,id,title,viewCount,likeCount,commentCount,subscriberCount,noticeds
368,QD57hxYtinw,롤엔 미드빵 배그엔 부캠빵 영혼의 1대1 들어간다 긴장감 ㄷㄷ,1289579.0,8709.0,822.0,920000,1.402529965753848
331,8oCvEtn2at4,SKT T1 vs KOO Tigers - 2015 롤드컵 결승 4세트 [2015 LoL Worlds],1208358.0,2342.0,886.0,521000,1.888553644899251
453,4B8x0iUX6JU,[마인크래프트] 루시와 함께 거지 집부터 부자 집까지!!! 10억짜리 집을 만들꺼에요!!!,1185368.0,7162.0,750.0,813000,1.4009167434773915
53,chdEIQ-h9yQ,배떡 로제 떡볶이 먹방,1171751.0,12010.0,1118.0,1090000,1.4671367009295169
499,65J7P_BS1vo,군대에서 간부들에게 '다나까' 쓰지 않고 이야기하는 방법. ㅣ오킹TVㅣ,1138314.0,12952.0,567.0,1090000,1.7172917230116154
263,SW0dTKOse-U,[얼불춤 커스텀] かめりあ - We Could Get More Machinegun Psystyle! (And More G. S.) (And More Difficulty) 클리어,1127361.0,15570.0,1505.0,103000,1.724523995637296
573,4xL-HY9u_qo,런닝맨방탈출,1105118.0,10716.0,884.0,2450000,3.300990788897364
462,dJvtr_lxQG4,[FULL VER.] 암세포 & 인간게놈 최고 권위 과학자들의 코로나19 FACT 총정리 | #미래수업 | #Diggle,1081192.0,14781.0,1592.0,605000,3.297680748247335
412,eTGUqWi2gw8,이 시국🚨 꼭 봐야 하는 '코로나19 완치자'의 생생한 이야기 [무엇이든 물어보살],1062313.0,11845.0,1519.0,726000,3.1318005200441035
221,yvrLVotGA7w,보트 박살내봐(마인크래프트),1030894.0,11539.0,1546.0,498000,1.2539299502899064
187,jOp8EwXgGF8,일본 까는 미국애니 [사우스파크],1002439.0,9826.0,1871.0,30100,1.7409917633565997
65,m6cMks18whg,트릭스터M의 문제는 리니지를 베꼈다는 것 정도가 아니다,1002198.0,13374.0,3887.0,290000,8.336007355893523
363,rPHGQORemYM,대회룰을 적용한(?) 저녁밥 미션.. 1킬당 천원.. 과연 오늘은 저녁밥을 먹을 수 있을것인가!!!,1000395.0,6324.0,871.0,504000,1.0880170699820024
455,DeecCsSizZY,[로블록스(Roblox)] 경찰VS범죄자VS초능력자?!!! 새로운 제일브레이크! 간단 리뷰 & 플레이 영상,904566.0,3744.0,601.0,813000,1.069053369907379
202,sYJg1Xu0DEg,존니(Zohnny) - 살아있네 코믹클럽댄스 안무거울모드,901645.0,2151.0,113.0,179000,0.6968337716781869
332,7uYoQ2i16nY,2017 World Championship Moments and Memories,896062.0,10966.0,1189.0,3380000,1.400463402531131
429,NE0UTmycM8I,어몽어스가 현질게임 이었다면? ㄷㄷ,877813.0,9728.0,1952.0,204000,2.256213268556389
293,WTbz6qfbrF4,아무 것도 하기 싫어질 때 보면 좋은 영화,876918.0,24282.0,717.0,369000,3.639922014538635
184,3EznkVDs6HI,만약 모든 사람이 총을 갖고 있다면? [사우스파크],869351.0,8907.0,983.0,30100,1.5098504053272301
