,id,title,viewCount,likeCount,commentCount,subscriberCount
531,Qz9TgySK1RU,원심분리기에 주민넣기 (마인크래프트),187727.0,2732.0,227.0,60600
358,XNnWmwJSBbs,[심즈4] 계란과 식혜 들고 오세요! 심즈로 만드는 *여심전용* 24시 찜질방｜베이비하품,173649.0,2789.0,402.0,108000
604,sf9w54DwIZ4,【로블록스】킹피스 레이드 좋은 열매! 초보자도 쉽게 레이드 솔플가능! (브라키오 열매),172127.0,1257.0,644.0,61600
608,JUnncAmn4nI,로블록스 올타디 현질로 초보 탈출해버리는 영상 / 여러분의 훈수를 기다립니다【로블록스 올타디】,171100.0,1031.0,450.0,61600
354,Q05k2Qu6uFc,[심즈4] 어떤 확장팩을 살 지 고민된다면 들어오세요! 심즈 확장팩 추천｜베이비하품,166644.0,2598.0,309.0,108000
240,wU9CWN584tE,코로나 때문에 마인크래프트로 연말파티를 열어버림ㅋㅋㅋ,161087.0,4591.0,330.0,360000
655,vNZYrtV0UAA,반전에 반전?! 업글로 승부하는 '운빨' 유즈맵 【초 극뎀 블러드】,161009.0,565.0,98.0,251000
212,THMe7_oNxtE,야 성큰! 막을게!! 메롱으로 막는 '근본' 유즈맵 【개인 성큰 디펜스】,154082.0,748.0,104.0,251000
441,dM8l0EY_coQ,C&C Red Alert 3 - Testing Super Units (Mod : RA3 Epic War),150896.0,2127.0,211.0,20100
124,8__zcYay2YU,"아주건전하게★ 돈으로 친구(?)를 만들어보자!! (VRChat, VR챗)",146338.0,2262.0,415.0,61800
530,7Xf8tX1tMz8,코로나 19를 마인크래프트로 표현한다면?,142331.0,2921.0,291.0,60600
345,Eq30kNWNPzY,쓸만한 영어 - 생활속 통역 - 신종 코로나 바이러스에 관해 영어로 대화하기,121063.0,3529.0,225.0,264000
194,uOLpTCU1-Ow,약 10시간을 도전한 '이랏샤이마세' 입구 막기 ㅠㅠ - [스타 유즈맵],118832.0,642.0,93.0,251000
236,s0EJAJ-ogTg,참모총장 대장까지 진급해서 저그를 무찔러라 [EUD 궁극의테란키우기2 초월팩] | 스타크래프트 리마스터 유즈맵,109953.0,305.0,73.0,13600
